time,CH1,CH2,REF1,REF2
   0.000124,   1.600000,   0.200000,   2.560000,   0.200000
   0.000124,   1.520000,   0.200000,   2.560000,   0.200000
   0.000125,   1.520000,   0.200000,   2.560000,   0.400000
   0.000125,   1.520000,   0.200000,   2.560000,   0.400000
   0.000125,   1.520000,   0.200000,   2.560000,   0.400000
   0.000125,   1.520000,   0.400000,   2.560000,   0.400000
   0.000126,   1.520000,   0.400000,   2.560000,   0.400000
   0.000126,   1.520000,   0.400000,   2.480000,   0.400000
   0.000126,   1.520000,   0.400000,   2.480000,   0.400000
   0.000126,   1.520000,   0.400000,   2.480000,   0.400000
   0.000127,   1.520000,   0.400000,   2.480000,   0.400000
   0.000127,   1.520000,   0.400000,   2.480000,   0.600000
   0.000127,   1.520000,   0.400000,   2.480000,   0.600000
   0.000127,   1.520000,   0.400000,   2.480000,   0.600000
   0.000128,   1.520000,   0.400000,   2.480000,   0.600000
   0.000128,   1.440000,   0.400000,   2.480000,   0.600000
   0.000128,   1.440000,   0.600000,   2.480000,   0.600000
   0.000129,   1.440000,   0.400000,   2.400000,   0.800000
   0.000129,   1.440000,   0.600000,   2.400000,   0.600000
   0.000129,   1.440000,   0.600000,   2.400000,   0.800000
   0.000129,   1.360000,   0.600000,   2.400000,   0.800000
   0.000130,   1.360000,   0.600000,   2.400000,   0.800000
   0.000130,   1.360000,   0.600000,   2.320000,   0.800000
   0.000130,   1.360000,   0.600000,   2.320000,   0.800000
   0.000130,   1.360000,   0.600000,   2.320000,   0.800000
   0.000131,   1.360000,   0.600000,   2.320000,   1.000000
   0.000131,   1.360000,   0.600000,   2.240000,   1.000000
   0.000131,   1.360000,   0.600000,   2.240000,   1.000000
   0.000131,   1.280000,   0.600000,   2.240000,   1.000000
   0.000131,   1.280000,   0.600000,   2.160000,   1.000000
   0.000132,   1.280000,   0.800000,   2.160000,   1.000000
   0.000132,   1.280000,   0.600000,   2.160000,   1.000000
   0.000132,   1.280000,   0.800000,   2.160000,   1.200000
   0.000132,   1.280000,   0.800000,   2.160000,   1.200000
   0.000133,   1.280000,   0.800000,   2.080000,   1.200000
   0.000133,   1.200000,   0.800000,   2.080000,   1.200000
   0.000133,   1.200000,   0.800000,   2.080000,   1.200000
   0.000133,   1.200000,   0.800000,   2.000000,   1.200000
   0.000134,   1.200000,   0.800000,   2.000000,   1.200000
   0.000134,   1.120000,   0.800000,   2.000000,   1.200000
   0.000134,   1.120000,   0.800000,   1.920000,   1.200000
   0.000134,   1.120000,   1.000000,   1.920000,   1.400000
   0.000135,   1.120000,   0.800000,   1.920000,   1.400000
